user_variable,user_description,uid,relevance_score
submitter_id,A project-specific identifier for a node. This property is the calling card/nickname/alias for a unit of submission. It can be used in place of the UUID for identifying or recalling a node.,242980.0,0.33884242
submitter_id,A project-specific identifier for a node. This property is the calling card/nickname/alias for a unit of submission. It can be used in place of the UUID for identifying or recalling a node.,242989.0,0.26683462
submitter_id,A project-specific identifier for a node. This property is the calling card/nickname/alias for a unit of submission. It can be used in place of the UUID for identifying or recalling a node.,242990.0,0.26435837
participant_id,Unique identifier that can be used to retrieve more information for a participant.,177036.0,0.94407386
participant_id,Unique identifier that can be used to retrieve more information for a participant.,177033.0,0.9413314
participant_id,Unique identifier that can be used to retrieve more information for a participant.,177035.0,0.8513359
consent_codes,"Data Use Restrictions that are used to indicate permissions/restrictions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be removed, stored or used.Based on the Data Use Ontology : see http://www.obofoundry.org/ontology/duo.htmlGRU - For general research use for any research purpose. Example of usage: This includes but is not limited to: health/medical/biomedical purposes, fundamental biology research, the study of population origins or ancestry, statistical methods and algorithms development, and social-sciences research.HMB - Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry.DS-X - Use of the data must be related to [disease].NPU - Use of the data is limited to not-for-profit organizations and not-for-profit use, non-commercial use.IRB - Requestor must provide documentation of local IRB/REC approval.",180823.0,0.9804313
consent_codes,"Data Use Restrictions that are used to indicate permissions/restrictions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be removed, stored or used.Based on the Data Use Ontology : see http://www.obofoundry.org/ontology/duo.htmlGRU - For general research use for any research purpose. Example of usage: This includes but is not limited to: health/medical/biomedical purposes, fundamental biology research, the study of population origins or ancestry, statistical methods and algorithms development, and social-sciences research.HMB - Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry.DS-X - Use of the data must be related to [disease].NPU - Use of the data is limited to not-for-profit organizations and not-for-profit use, non-commercial use.IRB - Requestor must provide documentation of local IRB/REC approval.",21660.0,0.9795506
consent_codes,"Data Use Restrictions that are used to indicate permissions/restrictions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be removed, stored or used.Based on the Data Use Ontology : see http://www.obofoundry.org/ontology/duo.htmlGRU - For general research use for any research purpose. Example of usage: This includes but is not limited to: health/medical/biomedical purposes, fundamental biology research, the study of population origins or ancestry, statistical methods and algorithms development, and social-sciences research.HMB - Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry.DS-X - Use of the data must be related to [disease].NPU - Use of the data is limited to not-for-profit organizations and not-for-profit use, non-commercial use.IRB - Requestor must provide documentation of local IRB/REC approval.",180821.0,0.97923523
amputation_type,"If amputated, the amputation type for leg, above the knee or below the knee.  ",4733.0,0.8856315
amputation_type,"If amputated, the amputation type for leg, above the knee or below the knee.  ",19693.0,0.23231015
amputation_type,"If amputated, the amputation type for leg, above the knee or below the knee.  ",19692.0,0.1183851
cohort_id,"The study subgroup that the participant belongs to. This indicates whether the participant was a postmortem donor, an organ donor, or a surgical donor.  ",75719.0,0.6977119
cohort_id,"The study subgroup that the participant belongs to. This indicates whether the participant was a postmortem donor, an organ donor, or a surgical donor.  ",68680.0,0.45259643
cohort_id,"The study subgroup that the participant belongs to. This indicates whether the participant was a postmortem donor, an organ donor, or a surgical donor.  ",226487.0,0.3455468
data_submission_guid,"A Globally Unique IDentifier (GUID) provided by the data submitter, used to identify this subject across multiple projects, commons, etc.",242990.0,0.9619649
data_submission_guid,"A Globally Unique IDentifier (GUID) provided by the data submitter, used to identify this subject across multiple projects, commons, etc.",242989.0,0.8098782
data_submission_guid,"A Globally Unique IDentifier (GUID) provided by the data submitter, used to identify this subject across multiple projects, commons, etc.",189115.0,0.66235983
derived_parent_subject_id,Unique subject identifier associated with parent project; derived from parent accession and submitted subject ID.,242990.0,0.97622
derived_parent_subject_id,Unique subject identifier associated with parent project; derived from parent accession and submitted subject ID.,242989.0,0.951504
derived_parent_subject_id,Unique subject identifier associated with parent project; derived from parent accession and submitted subject ID.,226431.0,0.78282857
derived_topmed_subject_id,Unique subject identifier associated with TOPMed project; derived from TOPMed accession and submitted subject ID.,242990.0,0.9887988
derived_topmed_subject_id,Unique subject identifier associated with TOPMed project; derived from TOPMed accession and submitted subject ID.,242989.0,0.97520185
derived_topmed_subject_id,Unique subject identifier associated with TOPMed project; derived from TOPMed accession and submitted subject ID.,68150.0,0.7210563
eligibility,A verification field of whether the Donor has met the overall eligibility criteria for GTEx collection based on answers to eligibility questions. All Eligibility conditions require confirmation from the donor procurement team (staff team where tissue collection and data abstraction takes place) and must be met in order for donor to eligible.  ,81775.0,0.94957596
eligibility,A verification field of whether the Donor has met the overall eligibility criteria for GTEx collection based on answers to eligibility questions. All Eligibility conditions require confirmation from the donor procurement team (staff team where tissue collection and data abstraction takes place) and must be met in order for donor to eligible.  ,75867.0,0.94122344
eligibility,A verification field of whether the Donor has met the overall eligibility criteria for GTEx collection based on answers to eligibility questions. All Eligibility conditions require confirmation from the donor procurement team (staff team where tissue collection and data abstraction takes place) and must be met in order for donor to eligible.  ,102932.0,0.82810634
